Package Name,App Name,Google Play Page,App Description
com.iojess.todont&pli=1,To Don't - Break Bad Habits,https://play.google.com/store/apps/details?id=com.iojess.todont&pli=1,"To Don't is the opposite of a to-do list, it's a to-don't list. Create a list of things you want to avoid doing and when you shouldn't do them:

 • Don't eat dessert on Tuesday
 • Don't wake up late Monday-Friday
 • Don't cry while watching the news

Things like that.

Answer daily questions to track your progress. Motivate yourself to break bad habits by building streaks over time. View your activity history to better understand your behavior.

Not all days are the same. Customize your day by specifying which questions appear on which days of the week. Going on vacation? Pause your questions until you're ready to resume them.

To Don't is a simple and straightforward tool to help break bad habits, stop addiction, or simply make small improvements to your life."
com.todontlist,ToDon’tList,https://play.google.com/store/apps/details?id=com.todontlist,"Creative people have many things to do and even more ideas. But most of these never get done, and even brilliant ideas never see the light of day. Why? If you ask a creative person, the answer will always revolve around time. We simply need time to execute an idea (and do it well)—more time than we have.

The ToDon’tList App supports you in making the hardest choices: what will and won’t you do.

— How it works
You have 3 lists — a Do list, a Done list, ​and a ToDon’tList. You can only put 3 items on your Do list. The rest of your to-dos automatically go on your ToDon’tList.

When you’ve finished a task, the corresponding to-do will be transferred to your Done list (giving a nice sense of accomplishment). This will leave space for a new item on your Do list, which will be added from your ToDon’tList.

Tasks remaining on your ToDon’tList for longer than 3 months automatically disappear, without notification. After all, if they had been important enough, you would have done something about them by that time.


— Background
Once a psychologist was invited to the Pentagon to give a workshop to generals on time management. He asked the group to each write down in 25 words what their strategy had been so far for managing their time.

Nearly all generals already hit a wall there. 25 words were too little. The only one who succeeded in completing the task was the only female general at the gathering. She came up with the following strategy: “First I make a list of priorities: one, two, three, and so on. Then I cross out everything from three downwards.”

What the general had done was turn her to-dos into to-don’ts. She placed all her to-dos on a to-don’t list and only chose three to-dos to complete. Anything below the line would simply not get done. This gave her more time to do those 3 things well.

Just like the general, you can only place three items on your DoList. The other items stay on your ToDon’tList.

This general’s method is a simple, but an extremely effective way of making choices. It inspired this app, which in turn inspired a book (‘Don’t Read This Book, Time Management for Creative People’)."
kolmachikhin.alexander.breakbadhabits,Break Bad Habits,https://play.google.com/store/apps/details?id=kolmachikhin.alexander.breakbadhabits,"🎯️ The main target of the application
Visually showing the progress of the fight against bad habits, this is something that constantly eludes us when we want to break the addiction. And here's how exactly it is achieved:

📕️ Habit Management
You can create any bad habit, set an icon for it and the time from which the abstinence countdown will start.

🕓️ Timer for every habit
Under each habit there is a timer that counts down the time since the last habit event every second!

🗓️ Habit Event Calendar
Each event is marked in the calendar of events - this is very convenient and clearly shows how often events occur during the month.

📊️ Abstinence Schedule
Shows with the help of columns intervals of abstinence. This makes it easy to estimate how long you can roughly last without a habit. And it is also a very good motivation to increase the time of abstinence. It's a shame when the chart goes down, and it's nice to see it go up.

🧮️ Habit Statistics
The most interesting indicators are indicated in the statistics:
- Average abstinence time
- Maximum abstinence time
- Minimum abstinence time
- Time since first habit event
- Number of habit events in the current month
- Number of habit events in the past month
- Total number of habit events

📲️ Home screen widget with habits
For widgets, you can customize the title and specific habits that will be shown in it. Thanks to him, on the main screen, you will be met every time with progress in your habits and give you more motivation!"
com.despdev.quitzilla,Quitzilla: Bad Habit Tracker,https://play.google.com/store/apps/details?id=com.despdev.quitzilla,"If you're struggling with self-harming habits or addictions - Quitzilla is a habit tracker that can help you get your life back on track. It's a habit breaker app that aims to help users overcome self-harming or addictive behavior and stop bad habits.

It is an easy-to-use tool that can help you cut back on bad habits like smoking cigarettes, drinking alcohol, vaping, watching porn, eating unhealthy food, and more in order to live a healthier lifestyle. Addiction recovery is a long and difficult journey, but with the help of Quitzilla you can finally break your harmful habits and improve your life.

Sobriety Counter.
Use Quitzilla to count sobriety days and see the difference in your life when you stay sober. You can also see exactly how much money and time you save by staying clean and not drinking alcohol or not using drugs, so you'll be able to reward yourself with something nice when you have been sober for a long enough time. The app allows you to set up a sober counter, so you can track how many days in a row you've been sober. This is a useful tool for anyone who has trouble staying away from alcohol and other drugs and needs the motivation to stay clean. Count your clean days and celebrate when they hit double digits!

Addiction Tracker.
Quitzilla will help you get the support you need when recovering from addiction. It gives you a safe place to log your struggles and provides a tool to reframe those challenges into challenges worth overcoming. Commit to quit that habit! Enter your bad habit or addiction into the program easily. You can add the exact day of the last time you did it, the money you spend usually on that bad habit or addiction, and let it serve as your starting point. From then on you can get tons of interesting statistics about it. The abstinence time and money saved are the leading statistics.

Rewards.
The rewards feature is actually a calculation of the money saved. For example, if you’ve spent $100 on gambling weekly, and you haven’t gambled for a week, then those $100 is your weekly reward. Users can also manually add rewards for themselves. This serves as great motivation to quit alcohol, cigarettes, junk food, or anything similar that costs us money and is harmful to our body and health.

Motivation.
Sobriety Counter also features a motivation tab in which you can add your own reasons to quit your addiction and bad habits. Simply list all of the benefits of quitting and let them serve as a motivation for you to continue your journey of tracking and overcoming addictions.

Useful Statistics.
The app keeps relevant statistics about each of your bad habits. From entering the day you quit and maximum abstinence period, to keep a record of the money, time spent on addiction, and average abstinence period. Quitzilla will show detailed statistics about your harming habits.

Trophy Room.
For each of your successes, you will earn a trophy. These trophies are earned for the number of hours and days of your abstinence. The longer you are abstinent, the more important the trophy. In order to improve your wellbeing, it is important that you abstain for a longer period of time.

Quote Of The Day.
To keep you motivated and focused in your quest to get rid of your addictions, Quitzilla will display you “Quote of the Day” from various famous authors.

Quitzilla Features:
- easy and simple entering of harmful habits and addictions
- help in quitting alcohol, drug, caffeine, food, and sugar addictions
- customize your bad habits
- set weekly average expenses for a particular addiction
- sobriety counter in hours, days, and money
- rewards system
- motivation with reasons why to quit a certain habit
- detailed statistics about each addiction
- trophies for achievements
- quote of the day for motivation and keeping focus
- pin code to prevent other people to enter the app
- ability to change the color theme
- Progress and daily quotes notifications"
com.oristats.habitbull&pli=1,Habit Tracker,https://play.google.com/store/apps/details?id=com.oristats.habitbull&pli=1,"» Organize Your Life!
HabitBull is the most powerful multi-platform companion to keep track of your day to day habits and routines

» Fully Customisable
Measure and track anything and everything. Follow your own schedule and track your own goals. Get notified whenever you need to do something important."
app.nifu.simpletodo,Simple ToDo List & Tasks,https://play.google.com/store/apps/details?id=app.nifu.simpletodo,"○ For people like this

・Person who are tired of using ToDo apps that have complicated settings such as due dates and sharing
・Person who wants to easily register the shopping list or wish list or etc
・Person who wants to manage work and study
・People who want to use ToDo apps that are simple but easy to use

○ Simple and beautiful design

It is designed to be a simple and easy-to-use ToDo list.
It has become such a sophisticated design that ""pull"" rather than ""add"" the function.
It is an application that embodies ""simple is best"".

○ Easy to use

Thanks to its simple design and no extra features, you can use the app intuitively.
You can manage your tasks in a fun and stress-free manner.

○ Backup function

With the backup function, you can synchronize data between terminals,
Data can be inherited even if the terminal is changed."
com.app.nexdo,To Do List - Nexdo,https://play.google.com/store/apps/details?id=com.app.nexdo,"🏆 ""Beautifully designed minimal to-do list app""

Nexdo is a beautifully designed minimal to-do list app that helps people organize, plan the daily task in an easy way.

Nexdo is all about:
→ Managing your tasks or notes
→ Staying organized
→ Keeping tasks on Notification
→ Dark Theme

Upcoming Feature
Nexdo widget, Reminder & persistent todos cloud store.

Note for Reviewers
If there is a feature you would like or you require an issue to be resolved please email us at hellonexfuze@gmail.com and we will gladly help.

Nexdo todo-list helps you organize and simplify your plans, whether it's for work, school, or home.

Nexdo is free & it's your friend.

We prefer to keep Nexdo minimal & beautiful :)

Have a great day !"
com.google.android.apps.tasks,Google Tasks,https://play.google.com/store/apps/details?id=com.google.android.apps.tasks,"Get more done with the Google Tasks mobile app. Manage, capture, and edit your tasks from anywhere, at anytime, with to-dos that sync across all your devices. Integrations with Gmail and Google Calendar help you get tasks done—faster.

Quickly capture tasks anywhere
• Create task lists with your most important to-dos
• View, edit, and manage tasks on the go, from any device
• Manage tasks created in Gmail or Calendar on the web from your mobile device

Add details and create subtasks
• Break down your tasks to subtasks
• Add details about the work you need to focus on
• Edit details about any task as your work progresses

View tasks created from emails
• Create a task directly from an email in Gmail
• View your tasks in the side panel of Gmail
• Trace a task back to its source email

Stay on track with due dates and notifications
• Set a due date for every task to help you achieve your goals
• Organize your tasks by date or prioritize using drag-and-drop
• Receive due date notification reminders to keep your tasks on track

Part of G Suite
• Bring Google's suite of powerful, intelligent apps to your business
• Leverage Google’s AI to bring data insights and analysis to every employee
• Connect with your team seamlessly using one suite: Gmail, Tasks, Calendar & more

Take control of your task management and install the Google Tasks mobile app. Start easily managing your to-do list on the go with the Tasks planner app from Google."
com.apalon.to.do.list,"Productive - Habit tracker
",https://play.google.com/store/apps/details?id=com.apalon.to.do.list,"Productive is a free and easy-to-use habit tracker that helps you build a routine of positive, life changing habits. Set personal goals, track your progress, and motivate yourself to achieve new heights!

Productive habit tracker is here to help you make the most of your task management and get things done. Whether you want to break bad, arrange a good habits list, or set task reminder, our app will guide and motivate you on a daily basis. Achieve your goals with our task tracker!"
com.habitrpg.android.habitica,Habitica: Gamify Your Tasks,https://play.google.com/store/apps/details?id=com.habitrpg.android.habitica,"Habitica is a free habit-building and productivity app that uses retro RPG elements to gamify your tasks and goals.
Use Habitica to help with ADHD, self care, New Year’s resolutions, household chores, work tasks, creative projects, fitness goals, back-to-school routines, and more!
How it works:
Create an avatar then add tasks, chores, or goals you’d like to work on. When you do something in real life, check it off in the app and receive gold, experience, and items that can be used in-game!
Features:
• Automatically repeating tasks scheduled for your daily, weekly, or monthly routines
• Flexible habit tracker for tasks you want to do multiple times a day or only once in awhile
• Traditional to do list for tasks that only need to be done once
• Color coded tasks and streak counters help you see how you’re doing at a glance
• Leveling system to visualize your overall progress
• Tons of collectable gear and pets to suit your personal style
• Inclusive avatar customizations: wheelchairs, hair styles, skin tones, and more
• Regular content releases and seasonal events to keep things fresh
• Parties let you team up with friends for extra accountability and battle fierce foes by completing tasks
• Challenges offer shared task lists you can add to your personal tasks
• Guilds let you connect with others that share your interests and goals
• Reminders and widgets to help keep you on track
• Customizable color themes with dark and light mode
• Syncing across devices
• Brand new WearOS watch app available in version 4.0!
—
Habitica is an open-source app run by a small team that’s made better by the work of volunteers who contribute pixel art, translations, bug fixes, and more. If you’d like to contribute, reach out!
Community, privacy, and transparency are important to us. Your tasks are private and we don’t sell your personal data to third parties."
