package name                          ,app name                     ,app feature
com.iojess.todont                     ,To Don't - Break Bad Habits  ,Create a list of things you want to avoid doing and when you shouldn't do them
com.iojess.todont                     ,To Don't - Break Bad Habits  ,Answer daily questions to track your progress
com.iojess.todont                     ,To Don't - Break Bad Habits  ,break bad habits by building streaks over time
com.iojess.todont                     ,To Don't - Break Bad Habits  ,View your activity history
com.iojess.todont                     ,To Don't - Break Bad Habits  ,Customize your day by specifying which questions appear on which days of the week
com.iojess.todont                     ,To Don't - Break Bad Habits  ,Pause your questions until you're ready to resume them.
com.todontlist                        ,ToDon’tList                  ,"You can create any bad habit, set an icon for it and the time from which the abstinence countdown will start."
com.todontlist                        ,ToDon’tList                  ,Under each habit there is a timer that counts down the time since the last habit event every second!
com.todontlist                        ,ToDon’tList                  ,Each event is marked in the calendar of events
com.todontlist                        ,ToDon’tList                  ,Average abstinence time
com.todontlist                        ,ToDon’tList                  ,Maximum abstinence time
com.todontlist                        ,ToDon’tList                  ,Minimum abstinence time
com.todontlist                        ,ToDon’tList                  ,Time since first habit event
com.todontlist                        ,ToDon’tList                  ,Number of habit events in the current month
com.todontlist                        ,ToDon’tList                  ,Number of habit events in the past month
com.todontlist                        ,ToDon’tList                  ,Total number of habit events
com.todontlist                        ,ToDon’tList                  ,customize the title and specific habits that will be shown in it
com.todontlist                        ,ToDon’tList                  ,"in the main screen, you will be met every time with progress in your habits"
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,easy and simple entering of harmful habits and addictions
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,"help in quitting alcohol, drug, caffeine, food, and sugar addictions"
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,customize your bad habits
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,set weekly average expenses for a particular addiction
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,"sobriety counter in hours, days, and money"
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,rewards system
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,motivation with reasons why to quit a certain habit
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,detailed statistics about each addiction
kolmachikhin.alexander.breakbadhabits ,Break Bad Habits             ,trophies for achievements
