,Package name,Reviewer name,Review,Rating
0,app.nifu.simpletodo,Kat,"This app is absolutely fantastic. It helps me keep track of things, it has ZERO ads, and it's so simple and sleek! My whole life I've been searching for a nice digital list maker and all the time they are so crowded and overloaded with unecessary stickers or gadgets and I don't need that! This app is so simple and nice and it is exactly what I've always needed and wanted! :))",5
1,app.nifu.simpletodo,Linda Benjamin,"Brilliant, EXCEPT for the colour scheme. Grey text is hard to read, whether it's on a black background or on a white background. I love that I can move tasks up and down according to their priority and I love that it looks a bit like a post-it program, only simpler and free. Other than that I love it, but I don't know if the developers will read this and change it.",5
2,app.nifu.simpletodo,Tomáš Šedovič,This app does actually what it needs to in the simplest way possible: add items to a list one by one. Then cross them out. It's baking how many other apps require you to go through a separate dialog window every time you want to add an entry to the shopping list. The only annoying thing is the absence of a paid ad-free version.,5
3,app.nifu.simpletodo,TheAspect OfSnow,"Love it ! This will truly sound insane, but this is the only app, that just lets me write down things and then delete them when they are done. It does not provide me with random statistics, that nobody needs and does not try to access my photos or phonenumbers. How is it possible that every Interface in 2022 is just an Overkill? Thanks a lot for exactly what i needed. An Option to pay to get rid of ad would be appreciated.",5
4,app.nifu.simpletodo,semih,"I really like the app! But I have some feedback that would make my experience much better: 1. When adding items to a list, the added item always gets added to the top of the list. I'd like for items to get added on the bottom. 2. Because I really like the app, I'd even pay money to get an ad-free version. Please consider making one :D ! Thank you for making the app! I really like it!",4
5,app.nifu.simpletodo,Lush Ann,"I've been using this app for a month now and it does it job perfectly most of the time. It's simple and easy to use. The ads are not invasive and it just stays at the bottom, no problem. I rated this app a 4/5 because when I rearrange my tasks, it sometimes goes back to the original place. Hopefully, the devs can fix this. It's a minor issue, but I want to prioritize my tasks.",4
6,app.nifu.simpletodo,Kathleen Inna Bay,"Great app, minimalist design, does the job, not complicated to use, and the app does not crash. i suggest that there will be a reminder option where it can pop up on the screen so it wouldn't be a hassle to open the app check the tasks",4
7,app.nifu.simpletodo,Chimik Chimik,It's very easy to use. For lovers of minimalism or just lovers of clear interface. The only issue I've found there are ad's I'd like to have a possibility to remove them like for exp. paying 2-5$ would beanice way to support a creator + to get rid of those ads !,5
8,app.nifu.simpletodo,Kathulhu _,"Very slow to load. All other apps on my phone load in less than a second. This takes a full 10 seconds of staring at a white screen. Fine once opened, but not handy at all.",2
9,app.nifu.simpletodo,Mark Singh (Amarpal),"simple, easy, minimalist - it's exactly what I need with no extra nonsense that gets in the way. **Update (Oct. 7th, 2022): still using it, and would gladly pay for an ad-free version",5
