,Package name,Reviewer name,Review,Rating
0,app.nifu.simpletodo,Kat,app absolutely fantastic help keep track thing zero ad simple sleek whole life searching nice digital list maker time crowded overloaded unecessary sticker gadget need app simple nice exactly always needed wanted,5
1,app.nifu.simpletodo,Linda Benjamin,brilliant except colour scheme grey text hard read whether black background white background love move task according priority love look bit like post program simpler free love know developer read change,5
2,app.nifu.simpletodo,Tomáš Šedovič,app actually need simplest way possible add item list one one cross baking many apps require go separate dialog window every time want add entry shopping list annoying thing absence paid ad free version,5
3,app.nifu.simpletodo,TheAspect OfSnow,love truly sound insane app let write thing delete done provide random statistic nobody need try access photo phonenumbers possible every interface two thousand twenty-two overkill thanks lot exactly needed option pay get rid ad would appreciated,5
4,app.nifu.simpletodo,semih,really like app feedback would make experience much better one adding item list added item always get added top list like item get added bottom two really like app even pay money get ad free version please consider making one thank making app really like,4
5,app.nifu.simpletodo,Lush Ann,using app month job perfectly time simple easy use ad invasive stay bottom problem rated app four five rearrange task sometimes go back original place hopefully devs fix minor issue want prioritize task,4
6,app.nifu.simpletodo,Kathleen Inna Bay,great app minimalist design job complicated use app crash suggest reminder option pop screen hassle open app check task,4
7,app.nifu.simpletodo,Chimik Chimik,easy use lover minimalism lover clear interface issue found ad like possibility remove like exp paying two five would beanice way support creator get rid ad,5
8,app.nifu.simpletodo,Kathulhu _,slow load apps phone load le second take full ten second staring white screen fine opened handy,2
9,app.nifu.simpletodo,Mark Singh (Amarpal),simple easy minimalist exactly need extra nonsense get way update oct seventh two thousand twenty-two still using would gladly pay ad free version,5
10,app.nifu.simpletodo,Shrikrishna Shanbhag,clean simple effective would recommend anyone looking minimalistic approach planning day sure whether window app website well would dope,5
11,app.nifu.simpletodo,Maria Mylenka,working great far straightforward intuitive minimal unnecessary design function made obsession making list way organized le paper around workspace elsewhere,5
12,app.nifu.simpletodo,Sean Roekens,simple list apps flood notification reminder constant nagging stress one extremely simple use exactly want list nothing exactly want thank,5
13,app.nifu.simpletodo,Chateau Baylor,great design layout concept many thing missing list important due list must least besides reminder would good well well subnote priority feature calendar added well know supposed minimalistic app almost must list app right app concept great note app anything,4
14,app.nifu.simpletodo,Mateja Milenkovic,currently using stuff app get widget like stuff would easily switch app since backup option missing currently stuff also sync example grocery list wife owns iphone would awesome would pay paid version feauture get rid ad,4
15,app.nifu.simpletodo,Britney Knobbe,using app month love perfect shopping list simply check uncheck item needed making daily weekly monthly grocery list adding deleting item take second love clean user friendly,5
16,app.nifu.simpletodo,random potato,like simple easy use ive tried many apps kept one use everyday schedule however wish added folder creating option could categorize list,4
17,app.nifu.simpletodo,Rohan Pattar,amazing experience unlike many apps tried past show many chart statistic even necessary one simple straightforward,5
18,app.nifu.simpletodo,Rukmal Ranaweera,simple easy issue sync data among device need backup restore manually,4
19,app.nifu.simpletodo,Banana Lol,great app looking app alows many list want also simple one app like really love dark theme well overall modern look matter lot really satisfied highly recommended,5
20,app.nifu.simpletodo,LISA CATTABRIGA,app needed simple make multiple list title stand responsive functional atul gawande would proud,4
21,app.nifu.simpletodo,Alfa Ranken,everything list disappeared frustrating need log give access google acct make backup list gone going back google note need easy save backup restore export function search function,2
22,app.nifu.simpletodo,Pink Lady,love easy use messing make many different list easy use used five six apps make enough list everything anything one app like cause sometimes faff read list one app,5
23,app.nifu.simpletodo,Tanja Prini,great app like minimalist easy use interface thing missing would possibility create recurring task also able copy list text would nice great,5
24,app.nifu.simpletodo,dhiraj chauhan,right combination useful feature clean minimal design missing widget also lack auto update would made much handy note devolopers please provide widget auto update option,4
25,app.nifu.simpletodo,Pranab,beautiful fast wish nested task tag nested task created uncreated holding dragging left right tag would little complicated like drop pop menu love need feature p,5
26,app.nifu.simpletodo,Kryz,minimalist like app design overall aesthetic stick name simple personally think app could improve specifically button many button adding subtasks note,5
27,app.nifu.simpletodo,Aleem Khan,simple yet graceful app tried lot todolist app never felt much satisfied one screen multi view feature particularly distinguishes competition interactive colour friendly interface highly recommended,5
28,app.nifu.simpletodo,akhilesh verma,feature make copy list create task repeated daily type wrap text missing timer missing overall app light feel easy use,4
29,app.nifu.simpletodo,triziecheeze,app absolutely useful aestethic think would much better could like add widget task would much easier view since open app,5
30,app.nifu.simpletodo,Alex K.,app simple ui perfect managing project busy people want distraction also one suggestion devs one function missing cannot add reminder actually important besides app still top though,5
31,app.nifu.simpletodo,Revv BeKindTo,bad major issue put new item top list instead bottom option switch update app massive amount tracker fan simple app trying id router cable modem,1
32,app.nifu.simpletodo,Maria Barbosa,love using month simple love cat illustration think option sorting new automatically would nice save time scrolling dragging recent list top,5
33,app.nifu.simpletodo,Adina Astra,love looking app cross completed item clear minimal design option built purchase turn ad,4
34,app.nifu.simpletodo,Just Me,best simplest todo list maker clean ui thankfully new item added top list tried multitude todo list maker one need use thank developer,5
35,app.nifu.simpletodo,Richard JE Cooke,perfect except unobtrusive advert prefer pay prefer advert subscription model edit dropping four star open slowly maybe download ad time make little unpleasant use,4
36,app.nifu.simpletodo,Angela,really like app simple get job done also efficient use wish option pay get rid ad though cleaner experience definitely recommend regardless,4
37,app.nifu.simpletodo,Vansh Kapoor,hi love ui tryna darken task font color main start screen besides app wonderful loved three p side advice tryna add completion date maybe calendar something,5
38,app.nifu.simpletodo,Elisha Elena,easy use usefull feel satisfiying clicking tick button finished task suggestion choice fullscreen ad device ad thank developer,5
39,app.nifu.simpletodo,Ken Parsons,would great todo could integrated calendar mean option selected item could inserted date time calendar item scheduled calendar simply remains list completed,4
40,app.nifu.simpletodo,Rishi Bhargawa,looking something simple manage daily task want go flashy apps much app simple use many people thanks look app fulfills need,5
41,app.nifu.simpletodo,Charles Chetwynd,fantastic app absolutely love new feature like would widget android home screen also way remove ad mind pay,5
42,app.nifu.simpletodo,Shankar Sharma,excellent simple app checklist app q switched make feature would absolutely best project management app,5
43,app.nifu.simpletodo,Daniel Takacs,indeed simple amazing simplicity totally free b pay write character pay unlock subtasks love apps,5
44,app.nifu.simpletodo,safiyyah,exactly looking simple clean layout super easy use access fuss,5
45,app.nifu.simpletodo,Paulina M,simple nice app great job would like add task heading could group inside list e g case shopping list heading like vegetable diary product bread snack please helpful,5
46,app.nifu.simpletodo,Stormy,good app however ectremely laggy slow run smoothly checked storage everything wont go away cant deal sadly delete good app otherwise,4
47,app.nifu.simpletodo,Bảo Long Hà,oh good experience thanks lot developer great free app need improve note task list thanks lot developer,4
48,app.nifu.simpletodo,Shoot it Yaar,love app simple clean premium version simple use hope add task tomorrow day even though good app,5
49,app.nifu.simpletodo,Nevena Grijak,overall great ad annoying willing pay get rid go simple apps,4
50,app.nifu.simpletodo,snophia,started using app tell great easy use like simple minimalist recommending add widget see task quickly,4
51,app.nifu.simpletodo,Dhaval Prajapati,dear developer dhaval thankful making simple note task application app perfect simple usage useful feature wothout fancy useless feature specially sync sync perfectly working thank,5
52,app.nifu.simpletodo,Marshee The Marshmallow,like app simple easy use ever wish could widget option maybe alarm remind deadline,5
53,app.nifu.simpletodo,Danielle Danzalan,app actually pretty simple pleasing eye problem would suddenly delete list finished one task left app came back gone,3
54,app.nifu.simpletodo,Felix Neidhart,simple app basic sufficient functionality ad great design needed thanks suggestion add due date task order due date,5
55,app.nifu.simpletodo,Brielle Swanberg,really great think totally help set goal remember achieved also great shopping list remembering thing would recommend,5
56,app.nifu.simpletodo,Maggie H,downloaded far like really like however wish would add widget would helpful always see list home screen well maybe adding time reminder,3
57,app.nifu.simpletodo,매베닛,coming back app list task deleted written pls fix issue,3
58,app.nifu.simpletodo,Aaron Edgeworth,good app clear easy read well laid exactly want todo app replace notebook way make one time payment remove ad,5
59,app.nifu.simpletodo,Franz Jeanielle Leigh Ebio,prefer write task along list easily like press many button put note task something specific list even make sense rate far improve make simple simple,4
60,app.nifu.simpletodo,Soumili Roy,absolutely love one suggestion please add widget option someone forgets lazy open apps daily much help otherwise truly beautiful app,4
61,app.nifu.simpletodo,Mark G,nope tell hierarchy task subtasks function good list real navigation,1
62,app.nifu.simpletodo,Kenneth-Raymond Cox,dark theme see wonderful app dark theme thank four star next thing get rid ad forever subscription one time price would,4
63,app.nifu.simpletodo,Mark Maccollin,nearly perfect could use accessibility option setting would like able make font little bigger thanks,5
64,app.nifu.simpletodo,Ellen Kennedy,needed simple asthetic easy organize cluttering time reminder priority flag etc similar apps,5
65,app.nifu.simpletodo,Kristin Cho,wish way sync phone tablet otherwise great app user friendly visually clean like promised,4
66,app.nifu.simpletodo,Jasmine JasNotes,simple stream lined intuitive dark mode many list task priority apps one def top thr line thank developer,5
